?rea de Conhecimento,Sigla,Habilidade,Descri??o,,ID,nome,Sigla
3,CN,H30,"Avaliar propostas de alcance individual ou coletivo, identificando aquelas que visam ? preserva??o e a implementa??o da sa?de individual, coletiva ou do ambiente.",,,,
4,CH,H1,Interpretar historicamente e/ou geograficamente fontes documentais acerca de aspectos da cultura.,,,,
4,CH,H2,Analisar a produ??o da mem?ria pelas sociedades humanas.,,,,
4,CH,H3,Associar as manifesta??es culturais do presente aos seus processos hist?ricos.,,,,
4,CH,H4,Comparar pontos de vista expressos em diferentes fontes sobre determinado aspecto da cultura.,,,,
4,CH,H5,Identificar as manifesta??es ou representa??es da diversidade do patrim?nio cultural e art?stico em diferentes sociedades.,,,,
4,CH,H6,Interpretar diferentes representa??es gr?ficas e cartogr?ficas dos espa?os geogr?ficos.,,,,
4,CH,H7,Identificar os significados hist?rico-geogr?ficos das rela??es de poder entre as na??es.,,,,
4,CH,H8,Analisar a a??o dos estados nacionais no que se refere ? din?mica dos fluxos populacionais e no enfrentamento de problemas de ordem econ?mico-social.,,,,
4,CH,H9,"Comparar o significado hist?rico-geogr?fico das organiza??es pol?ticas e socioecon?micas em escala local, regional ou mundial.",,,,
4,CH,H10,Reconhecer a din?mica da organiza??o dos movimentos sociais e a import?ncia da participa??o da coletividade na transforma??o da realidade hist?rico-geogr?fica.,,,,
4,CH,H11,Identificar registros de pr?ticas de grupos sociais no tempo e no espa?o.,,,,
4,CH,H12,Analisar o papel da justi?a como institui??o na organiza??o das sociedades.,,,,
4,CH,H13,Analisar a atua??o dos movimentos sociais que contribu?ram para mudan?as ou rupturas em processos de disputa pelo poder.,,,,
4,CH,H14,"Comparar diferentes pontos de vista, presentes em textos anal?ticos e interpretativos, sobre situa??o ou fatos de natureza hist?rico-geogr?fica acerca das institui??es sociais, pol?ticas e econ?micas.",,,,
4,CH,H15,"Avaliar criticamente conflitos culturais, sociais, pol?ticos, econ?micos ou ambientais ao longo da hist?ria.",,,,
4,CH,H16,Identificar registros sobre o papel das t?cnicas e tecnologias na organiza??o do trabalho e/ou da vida social.,,,,
4,CH,H17,Analisar fatores que explicam o impacto das novas tecnologias no processo de territorializa??o da produ??o.,,,,
4,CH,H18,Analisar diferentes processos de produ??o ou circula??o de riquezas e suas implica??es s?cio-espaciais.,,,,
4,CH,H19,Reconhecer as transforma??es t?cnicas e tecnol?gicas que determinam as v?rias formas de uso e apropria??o dos espa?os rural e urbano.,,,,
4,CH,H20,Selecionar argumentos favor?veis ou contr?rios ?s modifica??es impostas pelas novas tecnologias ? vida social e ao mundo do trabalho.,,,,
4,CH,H21,Identificar o papel dos meios de comunica??o na constru??o da vida social.,,,,
4,CH,H22,Analisar as lutas sociais e conquistas obtidas no que se refere ?s mudan?as nas legisla??es ou nas pol?ticas p?blicas.,,,,
4,CH,H23,Analisar a import?ncia dos valores ?ticos na estrutura??o pol?tica das sociedades.,,,,
4,CH,H24,Relacionar cidadania e democracia na organiza??o das sociedades.,,,,
4,CH,H25,Identificar estrat?gias que promovam formas de inclus?o social.,,,,
4,CH,H26,Identificar em fontes diversas o processo de ocupa??o dos meios f?sicos e as rela??es da vida humana com a paisagem.,,,,
4,CH,H27,"Analisar de maneira cr?tica as intera??es da sociedade com o meio f?sico, levando em considera??o aspectos hist?ricos e(ou) geogr?ficos.",,,,
4,CH,H28,Relacionar o uso das tecnologias com os impactos s?cio-ambientais em diferentes contextos hist?rico-geogr?ficos.,,,,
4,CH,H29,"Reconhecer a fun??o dos recursos naturais na produ??o do espa?o geogr?fico, relacionando-os com as mudan?as provocadas pelas a??es humanas.",,,,
4,CH,H30,Avaliar as rela??es entre preserva??o e degrada??o da vida no planeta nas diferentes escalas.,,,,
